;SEASON;PLAYER_ID;FIRST_NAME;LAST_NAME;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_WO_SHOES_FT_IN;HEIGHT_W_SHOES;HEIGHT_W_SHOES_FT_IN;WEIGHT;WINGSPAN;WINGSPAN_FT_IN;STANDING_REACH;STANDING_REACH_FT_IN;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT;BENCH_PRESS;SPOT_FIFTEEN_CORNER_LEFT;SPOT_FIFTEEN_BREAK_LEFT;SPOT_FIFTEEN_TOP_KEY;SPOT_FIFTEEN_BREAK_RIGHT;SPOT_FIFTEEN_CORNER_RIGHT;SPOT_COLLEGE_CORNER_LEFT;SPOT_COLLEGE_BREAK_LEFT;SPOT_COLLEGE_TOP_KEY;SPOT_COLLEGE_BREAK_RIGHT;SPOT_COLLEGE_CORNER_RIGHT;SPOT_NBA_CORNER_LEFT;SPOT_NBA_BREAK_LEFT;SPOT_NBA_TOP_KEY;SPOT_NBA_BREAK_RIGHT;SPOT_NBA_CORNER_RIGHT;OFF_DRIB_FIFTEEN_BREAK_LEFT;OFF_DRIB_FIFTEEN_TOP_KEY;OFF_DRIB_FIFTEEN_BREAK_RIGHT;OFF_DRIB_COLLEGE_BREAK_LEFT;OFF_DRIB_COLLEGE_TOP_KEY;OFF_DRIB_COLLEGE_BREAK_RIGHT;ON_MOVE_FIFTEEN;ON_MOVE_COLLEGE;Year
158;2020;1630221;Joshua;Hall;Joshua Hall;SF;78,0;6'6.00'';79,5;6'7.50'';196.6;83,0;6'11.00'';104,5;8'8.50'';7,6;8,75;9,5;31,5;37,5;12,16;2,62;3,38;;;;;;;;;;;;;;;;;;;;;;;;;2020
159;2020;1630223;Jalen;Harris;Jalen Harris;SG;74,75;6'2.75'';76,2;6'4.25'';193.4;79,0;6'7.00'';97,5;8'1.50'';4,4;8,25;9,5;37,5;42,5;10,59;2,49;3,11;;;;;;;;;;;;;;;;;;;;;;;;;2020
160;2020;1630210;Markus;Howard;Markus Howard;PG;69,5;5'9.50'';71,0;5'11.00'';170.8;72,25;6'0.25'';91,5;7'7.50'';9,91;8,5;7,75;30,5;35,5;11,21;3,17;3,11;;;;;;;;;;;;;;;;;;;;;;;;;2020
161;2020;1630190;Elijah;Hughes;Elijah Hughes;SF-SG;76,75;6'4.75'';78,5;6'6.50'';229;79,5;6'7.50'';101,5;8'5.50'';10,2;8,5;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
162;2020;1630198;Isaiah;Joe;Isaiah Joe;SG;75,0;6'3.00'';76,5;6'4.50'';170.4;79,5;6'7.50'';101,0;8'5.00'';4,7;8,25;8,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
163;2020;1630222;Mason;Jones;Mason Jones;SG;75,75;6'3.75'';77,7;6'5.75'';207.2;79,0;6'7.00'';102,5;8'6.50'';8,9;8,75;8,5;24,0;31,0;10,6;2,49;3,33;;;;;;;;;;;;;;;;;;;;;;;;;2020
164;2020;1630233;Nathan;Knight;Nathan Knight;PF-C;80,0;6'8.00'';81,7;6'9.75'';235;86,0;7'2.00'';109,5;9'1.50'';8,2;9,0;9,5;23,0;31,5;11,56;2,96;3,31;;;;;;;;;;;;;;;;;;;;;;;;;2020
165;2020;1630177;Theo;Maledon;Theo Maledon;PG;76,0;6'4.00'';77,0;6'5.00'';187.4;80,75;6'8.75'';100,5;8'4.50'';2,8;8,5;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
166;2020;1630211;Karim;Mane;Karim Mane;PG-SG;77,0;6'5.00'';78,0;6'6.00'';196;83,0;6'11.00'';102,0;8'6.00'';3,73;8,5;9,75;31,0;36,0;11,52;2,64;3,04;;;;;;;;;;;;;;;;;;;;;;;;;2020
167;2020;1630230;Naji;Marshall;Naji Marshall;SF;77,75;6'5.75'';79,0;6'7.00'';233.5;84,75;7'0.75'';102,5;8'6.50'';8,7;9,25;10,5;28,5;35,0;11,77;2,9;3,37;;;;;;;;;;;;;;;;;;;;;;;;;2020
168;2020;1630231;Kenyon;Martin Jr.;Kenyon Martin Jr.;SF-PF;78,0;6'6.00'';79,0;6'7.00'';213.2;79,25;6'7.25'';102,0;8'6.00'';5,9;8,5;8,75;31,5;38,5;11,93;2,58;3,16;;;;;;;;;;;;;;;;;;;;;;;;;2020
169;2020;1630219;Skylar;Mays;Skylar Mays;SG;75,0;6'3.00'';76,0;6'4.00'';204;78,0;6'6.00'';99,0;8'3.00'';7,4;8,0;9,75;29,0;37,5;10,65;2,4;3,3;;;;;;;;;;;;;;;;;;;;;;;;;2020
170;2020;1630192;Zeke;Nnaji;Zeke Nnaji;PF-C;81,25;6'9.25'';82,5;6'10.50'';246.8;86,0;7'2.00'';105,5;8'9.50'';5,9;9,0;10,5;33,0;38,0;10,94;2,72;3,2;;;;;;;;;;;;;;;;;;;;;;;;;2020
171;2020;1629670;Jordan;Nwora;Jordan Nwora;SF-PF;77,75;6'5.75'';79,0;6'7.00'';223;82,25;6'10.25'';104,0;8'8.00'';11,68;8,5;9,25;29,0;35,0;11,29;2,66;3,43;;;;;;;;;;;;;;;;;;;;;;;;;2020
172;2020;1629617;Reggie;Perry;Reggie Perry;PF-C;80,25;6'8.25'';81,2;6'9.25'';249.6;84,25;7'0.25'';106,5;8'10.50'';8,4;9,25;11,0;30,0;33,5;11,26;2,57;3,25;;;;;;;;;;;;;;;;;;;;;;;;;2020
173;2020;1629619;Myles;Powell;Myles Powell;PG-SG;72,5;6'0.50'';73,5;6'1.50'';194;79,0;6'7.00'';99,0;8'3.00'';15,8;8,0;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
174;2020;1630193;Immanuel;Quickley;Immanuel Quickley;SG;74,0;6'2.00'';75,0;6'3.00'';185.8;80,25;6'8.25'';99,0;8'3.00'';8,2;8,0;8,75;29,5;35,5;11,21;2,46;3,17;;;;;;;;;;;;;;;;;;;;;;;;;2020
175;2020;1630186;Jahmi'us;Ramsey;Jahmi'us Ramsey;SG;74,5;6'2.50'';75,7;6'3.75'';193.4;78,0;6'6.00'';100,5;8'4.50'';3,4;8,75;9,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
176;2020;1630194;Paul;Reed Jr.;Paul Reed Jr.;PF;80,5;6'8.50'';81,2;6'9.25'';219.2;86,0;7'2.00'';109,5;9'1.50'';6,83;9,0;8,75;26,5;37,5;12,29;2,67;3,45;;;;;;;;;;;;;;;;;;;;;;;;;2020
177;2020;1630208;Nick;Richards;Nick Richards;C;82,5;6'10.50'';83,5;6'11.50'';241.6;86,25;7'2.25'';110,0;9'2.00'';8,5;9,0;9,0;30,0;34,0;11,42;2,92;3,25;;;;;;;;;;;;;;;;;;;;;;;;;2020
178;2020;1630203;Grant;Riller;Grant Riller;PG-SG;72,25;6'0.25'';73,0;6'1.00'';178.4;77,25;6'5.25'';96,5;8'0.50'';5,4;8,0;8,5;32,5;39,5;11,17;2,45;3,07;;;;;;;;;;;;;;;;;;;;;;;;;2020
179;2020;1630206;Jayden;Scrubb;Jayden Scrubb;SG-SF;77,0;6'5.00'';78,2;6'6.25'';185.2;81,5;6'9.50'';104,5;8'8.50'';3,7;8,25;9,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
180;2020;1630188;Jalen;Smith;Jalen Smith;PF-C;81,25;6'9.25'';82,2;6'10.25'';224.6;86,25;7'2.25'';110,0;9'2.00'';3,7;9,25;9,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
181;2020;1630199;Cassius;Stanley;Cassius Stanley;SG;77,0;6'5.00'';78,2;6'6.25'';201.6;79,0;6'7.00'';99,5;8'3.50'';5,8;8,25;9,0;34,5;44,0;11,4;2,43;3,09;;;;;;;;;;;;;;;;;;;;;;;;;2020
182;2020;1630205;Lamar;Stevens;Lamar Stevens;SF-PF;77,75;6'5.75'';78,7;6'6.75'';228;81,0;6'9.00'';101,0;8'5.00'';6,8;8,5;9,75;35,0;41,0;10,35;2,54;3,2;;;;;;;;;;;;;;;;;;;;;;;;;2020
183;2020;1630191;Isaiah;Stewart;Isaiah Stewart;C;79,25;6'7.25'';80,5;6'8.50'';243;88,75;7'4.75'';108,5;9'0.50'';7,5;9,0;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
184;2020;1630179;Tyrell;Terry;Tyrell Terry;PG;73,5;6'1.50'';75,0;6'3.00'';170;73,75;6'1.75'';96,0;8'0.00'';7,6;7,5;8,25;30,0;34,0;10,78;2,59;3,28;;;;;;;;;;;;;;;;;;;;;;;;;2020
185;2020;1629681;Killian;Tillie;Killian Tillie;PF;80,75;6'8.75'';82,0;6'10.00'';221.6;80,0;6'8.00'';106,0;8'10.00'';12,43;8,25;9,25;27,5;32,0;11,6;2,62;3,4;;;;;;;;;;;;;;;;;;;;;;;;;2020
186;2020;1630214;Xavier;Tillman Sr.;Xavier Tillman Sr.;PF-C;79,5;6'7.50'';80,5;6'8.50'';266.5;86,0;7'2.00'';106,0;8'10.00'';8,5;10,25;11,0;26,0;32,5;11,8;3,01;3,49;;;;;;;;;;;;;;;;;;;;;;;;;2020
187;2020;1629700;Kaleb;Wesson;Kaleb Wesson;C;81,25;6'9.25'';82,2;6'10.25'';252.6;87,5;7'3.50'';111,5;9'3.50'';12,5;9,0;10,75;21,5;27,0;11,73;2,64;3,6;;;;;;;;;;;;;;;;;;;;;;;;;2020
188;2020;1630232;Kahlil;Whitney;Kahlil Whitney;SF;77,5;6'5.50'';79,0;6'7.00'';205;84,25;7'0.25'';105,5;8'9.50'';5,3;9,25;10,25;29,0;39,0;11,17;2,61;3,28;;;;;;;;;;;;;;;;;;;;;;;;;2020
189;2020;1630216;Cassius;Winston;Cassius Winston;PG;72,5;6'0.50'';73,5;6'1.50'';196;78,0;6'6.00'';97,0;8'1.00'';9,0;8,75;8,25;24,0;28,0;11,15;2,74;3,61;;;;;;;;;;;;;;;;;;;;;;;;;2020
190;2020;1630218;Robert;Woodard II;Robert Woodard II;SF;77,5;6'5.50'';79,0;6'7.00'';230.2;86,0;7'2.00'';105,5;8'9.50'';4,5;9,0;10,75;32,0;38,0;11,1;2,49;3,18;;;;;;;;;;;;;;;;;;;;;;;;;2020
191;2021;1630546;Max;Abmas;Max Abmas;PG;70,5;5'10.5'';71,75;5'11.75'';161.80;73,75;6'1.75'';94,0;7'10.0'';5,5;8,0;7,75;28,5;32,5;10,9;3,49;3,12;;;;;;;21-25;;;;;;;;;;;;;23-30;;;;12-25;2021
192;2021;1630534;Ochai;Agbaji;Ochai Agbaji;SG;76,5;6'4.5'';77,5;6'5.5'';214.40;82,0;6'10.0'';103,5;8'7.5'';4,15;9,0;8,75;32,0;41,5;10,88;3,1;3,13;;;;;;;15-25;;;;;;;;;;;;;21-30;;;;11-25;2021
193;2021;1630542;Marcus;Bagley;Marcus Bagley;SF;78,0;6'6.0'';79,75;6'7.75'';216.80;83,0;6'11.0'';102,5;8'6.5'';7,5;8,75;8,5;32,5;38,5;12,26;3,1;3,17;;;;;;;;;;;;;;;;;;;;;;;;;2021
194;2021;1630567;Scottie;Barnes;Scottie Barnes;SF;79,0;6'7.0'';80,0;6'8.0'';225.40;86,75;7'2.75'';108,0;9'0.0'';5,3;9,25;10,25;36,0;39,5;10,88;2,99;3,15;;;;;;;;;;;;;;;;;;;;;;;;;2021
195;2021;1629646;Charles;Bassey;Charles Bassey;C;81,25;6'9.25'';82,25;6'10.25'';230.20;87,0;7'3.0'';107,5;8'11.5'';5,9;9,0;9,5;33,0;36,0;12,19;3,33;3,13;;;;;;;;;;;;;;;;;;;;;;;;;2021
196;2021;1630527;Brandon;Boston Jr.;Brandon Boston Jr.;SF;77,75;6'5.75'';79,0;6'7.0'';188.00;82,75;6'10.75'';104,0;8'8.0'';6,0;9,0;9,75;;;;;;;;;;;;0-25;;;;;;;;;;;;;;;;;;2021
197;2021;1630547;James;Bouknight;James Bouknight;SG;75,5;6'3.5'';76,75;6'4.75'';190.00;80,25;6'8.25'';101,5;8'5.5'';5,5;8,75;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
198;2021;1630535;Greg;Brown III;Greg Brown III;PF;79,25;6'7.25'';80,5;6'8.5'';206.40;84,25;7'0.25'';107,0;8'11.0'';5,5;9,0;9,75;33,5;39,0;10,98;2,98;3,19;;;;;;;9-25;;;;;;;;;;;;;15-30;;;;;2021
199;2021;1630215;Jared;Butler;Jared Butler;PG;74,25;6'2.25'';75,75;6'3.75'';193.00;76,0;6'4.0'';98,5;8'2.5'';5,1;8,5;8,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
200;2021;1630577;Julian;Champagnie;Julian Champagnie;SF;78,5;6'6.5'';79,5;6'7.5'';217.40;82,0;6'10.0'';106,5;8'10.5'';8,0;9,0;8,5;26,0;32,0;12,38;3,2;3,2;;;;;;;14-25;;;;;;;;;;;;;15-30;;;;19-25;2021
201;2021;1630551;Justin;Champagnie;Justin Champagnie;PF;77,75;6'5.75'';78,75;6'6.75'';206.40;81,5;6'9.5'';104,0;8'8.0'';6,3;8,75;8,5;27,0;35,0;11,94;3,14;3,34;;;;;;;18-25;;;;;;;;;;;;;17-30;;;;9-25;2021
202;2021;1630528;Josh;Christopher;Josh Christopher;SG;75,25;6'3.25'';76,5;6'4.5'';214.80;81,25;6'9.25'';101,0;8'5.0'';5,8;8,75;8,5;29,5;37,5;11,32;3,3;3,14;;;;;;;16-25;;;;;;;;;;;;;23-30;;;;11-25;2021
203;2021;1630536;Sharife;Cooper;Sharife Cooper;PG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
204;2021;1630595;Cade;Cunningham;Cade Cunningham;PG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
205;2021;1630245;Ayo;Dosunmu;Ayo Dosunmu;SG;75,5;6'3.5'';77,0;6'5.0'';194.40;82,25;6'10.25'';102,0;8'6.0'';4,9;8,5;8,75;27,0;33,5;11,51;3,27;3,23;;;;;;;;;;;;;;;;;;;;;;;;;2021
206;2021;1630561;David;Duke Jr.;David Duke Jr.;SG;76,25;6'4.25'';77,5;6'5.5'';203.60;80,75;6'8.75'';102,5;8'6.5'';5,9;8,5;9,0;30,0;39,0;11,21;3,19;3,08;;;;;;;11-25;;;;;;;;;;;;;12-30;;;;8-25;2021
207;2021;1630556;Kessler;Edwards;Kessler Edwards;PF;79,0;6'7.0'';80,0;6'8.0'';203.00;83,25;6'11.25'';106,0;8'10.0'';4,3;8,5;8,25;28,0;37,0;11,3;3,38;3,25;;;;;;;16-25;;;;;;;;;;;;;19-30;;;;12-25;2021
208;2021;1630568;Luka;Garza;Luka Garza;C;82,0;6'10.0'';83,25;6'11.25'';242.80;85,5;7'1.5'';107,5;8'11.5'';11,7;9,0;9,25;24,0;29,5;11,9;3,38;3,51;;;;;;;17-25;;;;;;;;;;;;;19-30;;;;17-25;2021
209;2021;1630564;RaiQuan;Gray;RaiQuan Gray;PF;78,5;6'6.5'';79,75;6'7.75'';268.60;82,75;6'10.75'';105,0;8'9.0'';17,3;9,25;9,0;26,5;31,5;11,69;3,3;3,25;;;;;;;8-25;;;;;;;;;;;;;15-30;;;;9-25;2021
210;2021;1630224;Jalen;Green;Jalen Green;SG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
211;2021;1629656;Quentin;Grimes;Quentin Grimes;SG;76,0;6'4.0'';77,25;6'5.25'';205.00;80,0;6'8.0'';101,0;8'5.0'';6,6;8,5;10,0;30,5;38,5;11,09;3,33;3,07;;;;;;;16-25;;;;;;;;;;;;;22-30;;;;16-25;2021
212;2021;1630573;Sam;Hauser;Sam Hauser;SF;78,75;6'6.75'';80,0;6'8.0'';217.40;81,25;6'9.25'';102,0;8'6.0'';7,9;8,25;9,0;28,5;34,5;11,14;3,07;3,34;;;;;;;19-25;;;;;;;;;;;;;28-30;;;;14-25;2021
213;2021;1630565;Aaron;Henry;Aaron Henry;SF;76,5;6'4.5'';78,0;6'6.0'';209.60;82,75;6'10.75'';103,5;8'7.5'';5,6;8,5;9,25;29,0;35,0;11,68;3,18;3,07;;;;;;;;;;;;;;;;;;;;;;;;;2021
214;2021;1630574;Ariel;Hukporti;Ariel Hukporti;C;82,75;6'10.75'';84,0;7'0.0'';246.00;86,5;7'2.5'';111,5;9'3.5'';8,1;9,5;9,5;24,5;31,0;12,2;3,53;3,12;;;;;;;11-25;;;;;;;;;;;;;15-30;;;;12-25;2021
215;2021;1630562;Matt;Hurt;Matt Hurt;PF;80,5;6'8.5'';81,5;6'9.5'';232.40;81,5;6'9.5'';106,5;8'10.5'';15,2;9,0;9,0;25,5;32,5;11,44;3,25;3,34;;;;;;;22-25;;;;;;;;;;;;;18-30;;;;12-25;2021
216;2021;1630538;Nah'Shon;Hyland;Nah'Shon Hyland;SG;74,0;6'2.0'';75,5;6'3.5'';169.00;81,25;6'9.25'';101,5;8'5.5'';5,8;8,75;9,0;26,5;34,0;10,53;3,17;3,1;;;;;;;;;;;;;;;;;;;;;;;;;2021
217;2021;1630543;Isaiah;Jackson;Isaiah Jackson;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
218;2021;1630525;David;Johnson;David Johnson;SG;75,25;6'3.25'';76,75;6'4.75'';202.80;82,5;6'10.5'';104,0;8'8.0'';7,5;8,25;8,5;33,0;39,0;12,02;3,2;3,03;;;;;;;;;;;;;;;;;;;;;;;;;2021
219;2021;1630552;Jalen;Johnson;Jalen Johnson;PF;79,75;6'7.75'';81,25;6'9.25'';209.60;84,25;7'0.25'';106,0;8'10.0'';4,5;9,75;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
220;2021;1630553;Keon;Johnson;Keon Johnson;SG;75,5;6'3.5'';76,75;6'4.75'';184.80;79,25;6'7.25'';97,0;8'1.0'';4,4;8,5;9,0;41,5;48,0;11,45;3,2;3,0;;;;;;;;;;;;;;;;;;;;;;;;;2021
221;2021;1630637;Carlik;Jones;Carlik Jones;PG;72,0;6'0.0'';73,0;6'1.0'';173.60;77,0;6'5.0'';97,5;8'1.5'';4,5;8,25;9,0;31,5;36,0;10,96;3,23;3,16;;;;;;;19-25;;;;;;;;;;;;;25-30;;;;14-25;2021
222;2021;1630539;Kai;Jones;Kai Jones;PF;82,0;6'10.0'';83,5;6'11.5'';221.40;85,75;7'1.75'';110,5;9'2.5'';4,7;9,0;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
223;2021;1630529;Herbert;Jones;Herbert Jones;SF;78,0;6'6.0'';79,25;6'7.25'';206.40;84,25;7'0.25'';106,0;8'10.0'';5,8;8,5;9,0;28,5;36,5;11,02;3,17;3,25;;;;;;;12-25;;;;;;;;;;;;;15-30;;;;8-25;2021
224;2021;1630548;Johnny;Juzang;Johnny Juzang;SG;77,5;6'5.5'';79,0;6'7.0'';209.00;82,5;6'10.5'';100,5;8'4.5'';8,0;8,5;9,5;31,0;36,5;11,13;3,08;3,13;;;;;;;17-25;;;;;;;;;;;;;24-30;;;;17-25;2021
225;2021;1630557;Corey;Kispert;Corey Kispert;SF;78,0;6'6.0'';79,25;6'7.25'';223.80;79,0;6'7.0'';102,0;8'6.0'';6,8;8,75;10,0;30,0;37,5;10,91;2,99;3,12;;;;;;;;;;;;;;;;;;;;;;;;;2021
226;2021;1630228;Jonathan;Kuminga;Jonathan Kuminga;SF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
227;2021;1630639;AJ;Lawson;AJ Lawson;SG-SF;77,5;6'5.5'';78,75;6'6.75'';179.20;78,75;6'6.75'';99,5;8'3.5'';4,4;8,5;9,25;33,0;41,0;11,0;3,01;2,98;;;;;;;15-25;;;;;;;;;;;;;19-30;;;;16-25;2021
228;2021;1630575;Scottie;Lewis;Scottie Lewis;SF;76,0;6'4.0'';77,25;6'5.25'';187.60;84,0;7'0.0'';101,5;8'5.5'';4,7;8,75;9,75;34,0;42,0;10,45;3,03;2,98;;;;;;;;;;;;;;;;;;;;;;;;;2021
229;2021;1630587;Isaiah;Livers;Isaiah Livers;SF;77,75;6'5.75'';79,25;6'7.25'';231.80;81,25;6'9.25'';104,5;8'8.5'';9,4;9,0;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
230;2021;1630588;Makur;Maker;Makur Maker;C;82,25;6'10.25'';83,25;6'11.25'';232.20;85,75;7'1.75'';112,0;9'4.0'';14,5;8,75;9,5;25,5;31,0;11,87;3,28;3,34;;;;;;;16-25;;;;;;;;;;;;;22-30;;;;17-25;2021
231;2021;1630572;Sandro;Mamukelashvili;Sandro Mamukelashvili;C;81,0;6'9.0'';82,0;6'10.0'';239.80;85,25;7'1.25'';106,5;8'10.5'';7,8;9,0;9,5;30,5;36,5;11,63;3,3;3,21;;;;;;;19-25;;;;;;;;;;;;;17-30;;;;15-25;2021
232;2021;1630544;Tre;Mann;Tre Mann;PG;75,25;6'3.25'';76,25;6'4.25'';177.60;76,0;6'4.0'';98,5;8'2.5'';4,1;8,0;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
233;2021;1630571;Matthew;Mayer;Matthew Mayer;PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
234;2021;1630540;Miles;McBride;Miles McBride;PG;73,0;6'1.0'';74,5;6'2.5'';195.20;80,75;6'8.75'';99,5;8'3.5'';6,0;9,0;9,5;31,0;38,5;11,08;3,13;3,1;;;;;;;17-25;;;;;;;;;;;;;19-30;;;;13-25;2021
235;2021;1630558;Davion;Mitchell;Davion Mitchell;PG;72,0;6'0.0'';73,25;6'1.25'';202.40;76,25;6'4.25'';96,5;8'0.5'';6,2;8,25;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
236;2021;1630596;Evan;Mobley;Evan Mobley;PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
237;2021;1630600;Isaiah;Mobley;Isaiah Mobley;PF;80,0;6'8.0'';81,75;6'9.75'';238.00;87,0;7'3.0'';107,5;8'11.5'';12,9;9,0;10,0;26,5;32,0;12,7;3,5;3,3;;;;;;;16-25;;;;;;;;;;;;;24-30;;;;14-25;2021
238;2021;1630541;Moses;Moody;Moses Moody;SG;76,5;6'4.5'';78,0;6'6.0'';210.60;84,75;7'0.75'';105,0;8'9.0'';6,8;9,0;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
239;2021;1630530;Trey;Murphy III;Trey Murphy III;SF;79,5;6'7.5'';81,25;6'9.25'';206.00;84,0;7'0.0'';105,5;8'9.5'';8,1;8,5;9,0;34,0;38,0;11,65;3,32;3,14;;;;;;;;;;;;;;;;;;;;;;;;;2021
240;2021;1630227;Daishen;Nix;Daishen Nix;PG;75,0;6'3.0'';76,25;6'4.25'';225.60;78,75;6'6.75'';100,0;8'4.0'';11,8;8,5;9,0;29,5;36,5;11,72;3,18;3,0;;;;;;;15-25;;;;;;;;;;;;;;;;;12-25;2021
241;2021;1630566;John;Petty Jr.;John Petty Jr.;SG;76,5;6'4.5'';77,75;6'5.75'';186.20;81,5;6'9.5'';103,5;8'7.5'';5,6;8,5;9,0;27,5;34,0;11,51;3,17;3,35;;;;;;;;;;;;;;;;;;;;;;;;;2021
242;2021;1630582;Yves;Pons;Yves Pons;PF;77,5;6'5.5'';78,75;6'6.75'';206.40;84,75;7'0.75'';104,0;8'8.0'';4,0;9,0;9,25;36,0;42,5;10,89;3,05;3,1;;;;;;;15-25;;;;;;;;;;;;;18-30;;;;19-25;2021
243;2021;1630554;Jason;Preston;Jason Preston;PG;75,0;6'3.0'';76,0;6'4.0'';180.60;80,5;6'8.5'';100,5;8'4.5'';5,45;8,5;9,25;30,5;38,5;10,82;3,08;3,13;;;;;;;13-25;;;;;;;;;;;;;14-30;;;;11-25;2021
244;2021;1630563;Joshua;Primo;Joshua Primo;SG;76,0;6'4.0'';77,0;6'5.0'';189.00;81,25;6'9.25'';102,5;8'6.5'';6,3;9,0;10,0;30,5;37,5;10,97;3,36;3,22;;;;;;;12-25;;;;;;;;;;;;;16-30;;;;14-25;2021
245;2021;1630576;Roko;Prkacin;Roko Prkacin;PF;79,5;6'7.5'';81,25;6'9.25'';225.40;83,0;6'11.0'';107,0;8'11.0'';7,0;8,75;9,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
246;2021;1629674;Neemias;Queta;Neemias Queta;C;83,25;6'11.25'';84,5;7'0.5'';248.40;88,0;7'4.0'';112,5;9'4.5'';7,6;9,25;10,5;27,0;33,0;11,85;3,5;3,29;;;;;;;9-25;;;;;;;;;;;;;20-30;;;;10-25;2021
247;2021;1630559;Austin;Reaves;Austin Reaves;SG;76,5;6'4.5'';77,75;6'5.75'';197.20;78,25;6'6.25'';101,0;8'5.0'';11,0;8,0;8,25;25,0;35,0;10,94;3,19;3,07;;;;;;;19-25;;;;;;;;;;;;;17-30;;;;13-25;2021
248;2021;1630526;Jeremiah;Robinson-Earl;Jeremiah Robinson-Earl;PF;79,75;6'7.75'';81,0;6'9.0'';242.40;81,75;6'9.75'';105,5;8'9.5'';8,9;9,0;9,75;27,0;32,0;11,64;3,15;3,29;;;;;;;15-25;;;;;;;;;;;;;17-30;;;;12-25;2021
249;2021;1630545;Terrence;Shannon Jr.;Terrence Shannon Jr.;SF;77,5;6'5.5'';78,5;6'6.5'';206.60;80,25;6'8.25'';100,0;8'4.0'';6,7;8,0;8,0;32,5;39,5;11,51;3,12;3,21;;;;;;;16-25;;;;;;;;;;;;;21-30;;;;16-25;2021
250;2021;1630549;Day'Ron;Sharpe;Day'Ron Sharpe;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021
